212,Boxing - 67 - 71kg (light-middleweight) - M,11
213,Boxing - 71-75kg - M,11
214,Boxing - 75 - 81kg (light-heavyweight) - M,11
215,Boxing - - 48kg (light-flyweight) - M,11
216,Boxing - 48 - 51kg (flyweight) - M,11
217,Boxing - + 91kg (super heavyweight) - M,11
218,Boxing - 81 - 91kg (heavyweight) - M,11
219,Boxing - 48kg (light flywieght) - M,11
220,Boxing - 60 - 64 kg - M,11
221,Boxing - 64 - 69 kg - M,11
222,Boxing - 69 - 75 kg - M,11
223,Canoe / Kayak F - C-1 1000m (canoe single) - M,12
224,Canoe / Kayak F - C-2 10000m - M,12
225,Canoe / Kayak F - C-2 1000m (canoe double) - M,12
226,Canoe / Kayak F - folding K-1 10000m - M,12
227,Canoe / Kayak F - folding K-2 10000m - M,12
228,Canoe / Kayak F - K-1 10000m - M,12
229,Canoe / Kayak F - K-1 1000m (kayak single) - M,12
230,Canoe / Kayak F - K-2 10000m - M,12
231,Canoe / Kayak F - K-2 1000m (kayak double) - M,12
232,Canoe / Kayak F - C-1 10000m - M,12
233,Canoe / Kayak F - K-1 500m (kayak single) - W,12
234,Canoe / Kayak F - K-1 4x500m - M,12
235,Canoe / Kayak F - K-2 500m (kayak double) - W,12
236,Canoe / Kayak F - K-4 1000m (kayak four) - M,12
237,Canoe / Kayak F - C-1 500m (canoe single) - M,12
238,Canoe / Kayak F - C-2 500m (canoe double) - M,12
239,Canoe / Kayak F - K-1 500m (kayak single) - M,12
240,Canoe / Kayak F - K-2 500m (kayak double) - M,12
241,Canoe / Kayak F - K-4 500m (kayak four) - W,12
242,Canoe / Kayak S - C-1 (canoe single) - M,13
243,Canoe / Kayak S - C-2 (canoe double) - M,13
244,Canoe / Kayak S - K-1 (kayak single) - M,13
245,Canoe / Kayak S - K-1 (kayak single) - W,13
246,Cricket - cricket - M,14
247,Croquet - double - M,15
248,Croquet - individual 1 ball - M,15
249,Croquet - individual 2 balls - M,15
250,Cycling Track - 100km - M,16
251,Cycling Track - 10km - M,16
252,Cycling Track - 12-hour race - M,16
253,Cycling Track - 1km time trial - M,16
254,Cycling Track - Sprint indivual - M,16
255,Cycling Track - 25 kilometres - M,16
256,Cycling Track - 1 mile (1609.3m) - M,16
257,Cycling Track - 1/2 mile (804.7m) - M,16
258,Cycling Track - 1/3 mile (536.5m) - M,16
259,Cycling Track - 1/4 mile (402.3m) - M,16
260,Cycling Track - 2 miles (3.218km) - M,16
261,Cycling Track - 25 miles (40.232km) - M,16
262,Cycling Track - 5 miles (8.046km) - M,16
263,"Cycling Track - 1980 yards Pursuit, Team - M",16
264,Cycling Track - 2000m tandem - M,16
265,Cycling Track - 20km - M,16
266,Cycling Track - 5000m - M,16
267,Cycling Track - One lap (660y) sprint - M,16
268,Cycling Track - 50km - M,16
269,Cycling Track - Team Pursuit (4000m) - M,16
270,Cycling Track - 1km Pursuit - M,16
271,Cycling Track - Individual Pursuit - M,16
272,Cycling Track - Points Race - M,16
273,Cycling Track - sprint - W,16
274,Cycling Track - individual pursuit - W,16
275,Cycling Track - points race - W,16
276,Cycling Track - 500m time trial - W,16
277,Cycling Track - Keirin - M,16
278,Cycling Track - Madison - M,16
279,Cycling Track - Olympic Sprint - M,16
280,Cycling Track - Team Sprint - M,16
281,Cycling Road - individual road race - M,17
282,Cycling Road - individual time trial - M,17
283,Cycling Road - team time trial - M,17
284,Cycling Road - individual road race - W,17
285,Cycling Road - individual time trial - W,17
286,Mountain Bike - cross-country - M,18
287,Mountain Bike - cross-country - W,18
288,BMX - Individual - M,19
289,BMX - individual - W,19
290,Jumping - high jump - X,20
291,Jumping - individual - X,20
292,Jumping - long jump individual - X,20
293,Jumping - team - X,20
294,Dressage - individual - X,21
295,Dressage - team - X,21
296,Eventing - individual - X,22
297,Eventing - team - X,22
298,Vaulting - figure riding individual - X,23
299,Vaulting - figure riding team - X,23
300,Fencing - foil individual - M,24
301,"Fencing - foil, masters - M",24
302,Fencing - sabre individual - M,24
303,Fencing - épée individual - M,24
304,"Fencing - épée, amateurs and masters - M",24
305,"Fencing - épée, masters - M",24
306,"Fencing - sabre, masters - M",24
307,Fencing - foil team - M,24
308,"Fencing - stick, single - M",24
309,Fencing - épée team - M,24
310,Fencing - sabre team - M,24
311,Fencing - foil individual - W,24
312,Fencing - foil team - W,24
313,Fencing - épée individual - W,24
314,Fencing - épée team - W,24
315,Fencing - sabre individual - W,24
316,Fencing - sabre team - W,24
317,Football - football - M,25
318,Football - football - W,25
319,Golf - individual - M,26
320,Golf - individual - W,26
321,Golf - team - M,26
322,Artistic G. - horizontal bar - M,27
323,Artistic G. - parallel bars - M,27
324,Artistic G. - pommel horse - M,27
325,Artistic G. - rings - M,27
326,Artistic G. - rope climbing - M,27
327,"Artistic G. - team, horizontal bar - M",27
328,"Artistic G. - team, parallel bars - M",27
329,Artistic G. - vault - M,27
330,Artistic G. - individual all-round - M,27
331,Artistic G. - club swinging - M,27
332,Artistic G. - combined 3 events - M,27
333,Artistic G. - combined 4 events - M,27
334,Artistic G. - team competition - M,27
335,"Artistic G. - team, free system - M",27
336,"Artistic G. - team, Swedish system - M",27
337,Artistic G. - Sidehorse vault - M,27
338,Artistic G. - team competition - W,27
339,Artistic G. - floor exercises - M,27
340,Artistic G. - indian clubs - M,27
341,Artistic G. - tumbling - M,27
342,Artistic G. - balance beam - W,27
343,Artistic G. - floor exercises - W,27
344,Artistic G. - individual all-round - W,27
345,"Artistic G. - team, portable apparatus - W",27
346,Artistic G. - uneven bars - W,27
347,Artistic G. - vault - W,27
348,Rhythmic G. - individual all-round - W,28
349,Rhythmic G. - group competition - W,28
350,Trampoline - individual - M,29
351,Trampoline - individual - W,29
352,Handball - handball - M,30
353,Handball - handball - W,30
354,Hockey - hockey - M,31
355,Hockey - hockey - W,31
356,Ice Hockey - ice hockey - M,32
357,Jeu de Paume - individual - M,33
358,Judo - - 68kg (lightweight) - M,34
359,Judo - + 80kg (heavyweight) - M,34
360,Judo - 68 - 80kg (middleweight) - M,34
361,Judo - open category - M,34
362,Judo - - 63kg (lightweight) - M,34
363,Judo - + 93kg (heavyweight) - M,34
364,Judo - 63 - 70kg (half-middleweight) - M,34
365,Judo - 70 - 80kg (middleweight) - M,34
366,Judo - 80 - 93kg (half-heavyweight) - M,34
367,Judo - - 60 kg - M,34
368,Judo - + 95kg (heavyweight) - M,34
369,Judo - 60 - 65kg (half-lightweight) - M,34
370,Judo - 65 - 71kg (lightweight) - M,34
371,Judo - 71 - 78kg (half-middleweight) - M,34
372,Judo - 78 - 86kg (middleweight) - M,34
373,Judo - 86 - 95kg (half-heavyweight) - M,34
374,Judo - - 48kg (extra-lightweight) - W,34
375,Judo - + 72kg (heavyweight) - W,34
376,Judo - 48 - 52kg (half-lightweight) - W,34
377,Judo - 52 - 56kg (lightweight) - W,34
378,Judo - 56 - 61kg (half-middleweight) - W,34
379,Judo - 61 - 66kg (middleweight) - W,34
380,Judo - 66 - 72kg (half-heavyweight) - W,34
381,Judo - + 100kg (heavyweight) - M,34
382,Judo - 60 - 66kg (half-lightweight) - M,34
383,Judo - 66 - 73kg (lightweight) - M,34
384,Judo - 73 - 81kg (half-middleweight) - M,34
385,Judo - 81 - 90kg (middleweight) - M,34
386,Judo - 90 - 100kg (half-heavyweight) - M,34
387,Judo - + 78kg (heavyweight) - W,34
388,Judo - 52 - 57kg (lightweight) - W,34
389,Judo - 57 - 63kg (half-middleweight) - W,34
390,Judo - 63 - 70kg (middleweight) - W,34
391,Judo - 70 - 78kg (half-heavyweight) - W,34
392,Judo - - 48 kg - W,34
393,Lacrosse - lacrosse - M,35
394,Modern Pentath. - Individual competition - M,36
395,Modern Pentath. - Team competition - M,36
396,Modern Pentath. - Individual competition - W,36
397,Polo - polo - M,37
398,Rackets - double - M,38
399,Rackets - individual - M,38
400,Roque - individual - M,39
401,Rowing - eight with coxswain (8+) - M,40
402,Rowing - four-oared shell with coxswain (4-) - M,40
403,Rowing - pair-oared shell with coxswain (2+) - M,40
404,Rowing - single sculls (1x) - M,40
405,Rowing - coxless pair (2-) - M,40
406,Rowing - double sculls (2x) - M,40
407,Rowing - four without coxswain (4-) - M,40
408,Rowing - coxed fours Jugriggers - M,40
409,Rowing - double sculls (2x) - W,40
410,Rowing - eight with coxswain (8+) - W,40
411,Rowing - four-oared shell with coxswain (4-) - W,40
412,Rowing - pair without coxswain (2-) - W,40
413,Rowing - quadruple sculls with coxswain (4x) - W,40
414,Rowing - quadruple sculls without coxswain (4x) - M,40
415,Rowing - single sculls (1x) - W,40
416,Rowing - quadruple sculls without coxswain (4x) - W,40
417,Rowing - coxless four (4-) - W,40
418,Rowing - lightweight coxless four (4-) - M,40
419,Rowing - lightweight double sculls (2x) - M,40
420,Rowing - lightweight double sculls (2x) - W,40
421,Rugby - rugby - M,41
422,Sailing - 0.5-1t - X,42
423,Sailing - 10-20t - X,42
424,Sailing - 3-10t - X,42
425,Sailing - open class - X,42
426,Sailing - 12m - X,42
427,Sailing - 6m - X,42
428,Sailing - 7m - X,42
429,Sailing - 8m - X,42
430,Sailing - 10m - X,42
431,Sailing - 10m (rating 1907) - X,42
432,Sailing - 10m (rating 1919) - X,42
433,Sailing - 12 foot dinghy - X,42
434,Sailing - 12m (rating 1907) - X,42
435,Sailing - 12m (rating 1919) - X,42
436,Sailing - 18 foot dinghy - X,42
437,Sailing - 30m sq - X,42
438,Sailing - 40m sq - X,42
439,Sailing - 6.5m (rating 1919) - X,42
440,Sailing - 6m (rating 1907) - X,42
441,Sailing - 6m (rating 1919) - M,42
442,Sailing - 8m (rating 1907) - X,42
443,Sailing - 8m (rating 1919) - M,42
444,Sailing - olympic class monotype - X,42
445,Sailing - 12 foot dinghy individual - X,42
446,Sailing - two-person keelboat open (Star) - X,42
447,Sailing - dragon - X,42
448,Sailing - firefly class - X,42
449,Sailing - swallow (golondrina) - X,42
450,Sailing - 5.5m - X,42
451,Sailing - single-handed dinghy (Finn) - M,42
452,Sailing - sharpie 12m2 - X,42
453,Sailing - flying dutchman - X,42
454,Sailing - fleet/match race keelboat open (Soling) - X,42
455,Sailing - tempest - X,42
456,Sailing - 470 - Two Person Dinghy - M,42
457,Sailing - Tornado - Multihull - X,42
458,Sailing - board (windglider) - M,42
459,Sailing - 470 - Two Person Dinghy - W,42
460,Sailing - board (division II) - M,42
461,Sailing - board (lechner) - M,42
462,Sailing - board (lechner) - W,42
463,Sailing - single-handed dinghy (Europe) - W,42
464,Sailing - board (Mistral) - M,42
465,Sailing - board (Mistral) - W,42
466,Sailing - single-handed dinghy open (Laser) - X,42
467,Sailing - 49er - Skiff - X,42
468,Sailing - Star - Keelboat - M,42
469,Sailing - Yngling - Keelboat - W,42
470,Sailing - Finn - Heavyweight Dinghy - X,42
471,Sailing - Laser - One Person Dinghy - M,42
472,Sailing - Laser Radial - One Person Dinghy - W,42
473,Sailing - RS:X - Windsurfer - M,42
474,Sailing - RS:X - Windsurfer - W,42
475,Shooting - 25m army pistol - M,43
476,Shooting - 25m rapid fire pistol (60 shots) - M,43
477,Shooting - 50m pistol (60 shots) - M,43
478,"Shooting - army rifle, 200m - M",43
479,"Shooting - army rifle, 300m - M",43
480,"Shooting - 50m army pistol, team - M",43
481,"Shooting - army rifle, 300m, 3 positions - M",43
482,"Shooting - army rifle, 300m, kneeling - M",43
483,"Shooting - army rifle, 300m, prone - M",43
484,"Shooting - army rifle, 300m, standing - M",43
485,"Shooting - free rifle, team - M",43
486,Shooting - trap (125 targets) - M,43
487,"Shooting - 1000y free rifle, prone - M",43
488,"Shooting - 100m running deer, double shots - M",43
489,"Shooting - 100m running deer, single shots - M",43
490,"Shooting - 100m running deer, single shots, team - M",43
491,"Shooting - 25y small bore rifle, disappearing target - M",43
492,"Shooting - 25y small bore rifle, moving target - M",43
